Date,Month,Site,Depth,Permanent Quadrat,Transect Meter Mark,Cattle Tag,Vegetative Density,Flowering Density,Total Density
6/26/2019,June,DC,SH,3,,5,18,1,19
6/26/2019,June,DC,SH,3,,17,19,5,24
6/26/2019,June,DC,SH,3,,31,30,0,30
6/26/2019,June,DC,SH,3,,28,18,9,27
6/26/2019,June,DC,SH,3,,18,18,3,21
6/26/2019,June,DC,SH,3,,13,25,3,28
6/26/2019,June,DC,SH,3,,34,33,0,33
6/26/2019,June,DC,SH,1,,3,18,4,22
6/26/2019,June,DC,SH,1,,14,30,2,32
6/26/2019,June,DC,SH,1,,73,29,0,29
6/26/2019,June,DC,SH,1,,72,11,0,11
6/26/2019,June,DC,SH,1,,8,15,0,15
6/26/2019,June,DC,SH,1,,12,28,0,28
6/26/2019,June,DC,SH,1,,47,26,2,28
6/26/2019,June,DC,SH,2,,70,19,5,24
6/26/2019,June,DC,SH,2,,66,18,3,21
6/26/2019,June,DC,SH,2,,74,25,5,30
6/26/2019,June,DC,SH,2,,59,33,9,42
6/26/2019,June,DC,SH,2,,44,36,1,37
6/26/2019,June,DC,SH,2,,67,29,8,37
6/26/2019,June,DC,SH,2,,57,26,3,29
6/26/2019,June,DC,DP,3,,10,4,0,4
6/26/2019,June,DC,DP,3,,11,2,0,2
6/26/2019,June,DC,DP,3,,7,5,0,5
6/26/2019,June,DC,DP,3,,19,5,0,5
6/26/2019,June,DC,DP,3,,16,7,0,7
6/26/2019,June,DC,DP,3,,15,4,0,4
6/26/2019,June,DC,DP,3,,20,7,1,8
6/26/2019,June,DC,DP,2,,51,6,0,6
6/26/2019,June,DC,DP,2,,43,3,3,6
6/26/2019,June,DC,DP,2,,46,6,1,7
6/26/2019,June,DC,DP,2,,48,3,1,4
6/26/2019,June,DC,DP,2,,68,3,1,4
6/26/2019,June,DC,DP,1,,64,5,0,5
6/26/2019,June,DC,DP,1,,30,10,0,10
6/26/2019,June,DC,DP,1,,41,6,0,6
6/26/2019,June,DC,DP,1,,37,12,0,12
6/26/2019,June,DC,DP,2,,52,5,0,5
6/26/2019,June,DC,DP,2,,61,6,0,6
6/27/2019,June,WB,SH,3,,31,35,5,40
6/27/2019,June,WB,SH,1,,43,21,3,24
6/27/2019,June,WB,SH,1,,52,30,8,38
6/27/2019,June,WB,SH,1,,26,26,3,29
6/27/2019,June,WB,SH,2,,41,54,4,58
6/27/2019,June,WB,SH,2,,64,51,1,52
6/27/2019,June,WB,SH,2,,30,49,1,50
6/27/2019,June,WB,SH,2,,13,48,5,53
6/27/2019,June,WB,SH,2,,38,44,1,45
6/27/2019,June,WB,SH,2,,25,39,1,40
6/27/2019,June,WB,SH,2,,17,42,5,47
6/27/2019,June,WB,SH,3,,74,41,3,44
6/27/2019,June,WB,SH,3,,72,30,3,33
6/27/2019,June,WB,SH,3,,34,25,0,25
6/27/2019,June,WB,SH,3,,20,39,6,45
6/27/2019,June,WB,SH,1,,61,16,1,17
6/27/2019,June,WB,SH,1,,46,42,3,45
6/27/2019,June,WB,SH,1,,51,9,0,9
6/27/2019,June,WB,SH,1,,68,35,4,39
6/27/2019,June,WB,SH,3,,73,34,6,40
6/27/2019,June,WB,SH,3,,66,24,3,27
6/27/2019,June,WB,DP,1,,11,8,0,8
6/27/2019,June,WB,DP,1,,16,5,0,5
6/27/2019,June,WB,DP,1,,14,2,0,2
6/27/2019,June,WB,DP,1,,28,0,0,0
6/27/2019,June,WB,DP,1,,5,5,0,5
6/27/2019,June,WB,DP,1,,7,3,0,3
6/27/2019,June,WB,DP,1,,15,2,0,2
6/27/2019,June,WB,DP,2,,12,8,0,8
6/27/2019,June,WB,DP,2,,59,7,0,7
6/27/2019,June,WB,DP,2,,44,11,0,11
6/27/2019,June,WB,DP,2,,47,12,2,14
6/27/2019,June,WB,DP,2,,37,5,0,5
6/27/2019,June,WB,DP,2,,8,7,0,7
6/27/2019,June,WB,DP,2,,19,8,0,8
6/27/2019,June,WB,DP,3,,67,11,0,11
6/27/2019,June,WB,DP,3,,57,10,1,11
6/27/2019,June,WB,DP,3,,3,8,2,10
6/27/2019,June,WB,DP,3,,70,10,1,11
6/27/2019,June,WB,DP,3,,18,12,0,12
6/27/2019,June,WB,DP,3,,10,11,0,11
6/27/2019,June,WB,DP,3,,35,6,0,6
6/28/2019,June,NB,SH,1,,10,39,3,42
6/28/2019,June,NB,SH,1,,35,29,8,37
6/28/2019,June,NB,SH,1,,3,42,1,43
6/28/2019,June,NB,SH,1,,70,60,4,64
6/28/2019,June,NB,SH,3,,61,19,0,19
6/28/2019,June,NB,SH,3,,66,24,0,24
