sample,ZMC-19017,,CT-20,,CL412,,ZMC-12075,,CL-172,,CT-3,,ZMC-13053,,GA-23,,GA-3,,CL-32,
DC.S1.1,81,93,163,163,257,257,113,117,192,196,240,244,96,100,162,166,239,239,106,109
DC.S1.2,93,96,163,163,255,257,113,117,196,196,242,242,96,98,162,172,239,239,97,109
DC.S1.3,81,93,163,163,255,259,107,111,196,200,242,242,94,98,162,166,239,239,97,109
DC.S1.4,93,96,163,163,255,257,113,117,196,196,242,242,96,98,162,172,239,239,97,109
DC.S1.5,93,96,163,163,255,257,113,117,196,196,242,242,96,98,162,172,239,239,97,109
DC.S1.6,93,93,165,171,257,257,115,117,196,196,242,246,96,100,162,172,239,239,97,109
DC.S1.7,93,96,163,163,255,257,113,117,196,196,242,242,96,98,162,172,239,239,97,109
DC.S1.8,81,90,163,165,255,257,111,113,192,196,242,248,98,100,162,170,239,239,97,97
DC.S1.9,81,93,163,163,255,257,117,117,196,196,240,242,94,98,162,172,239,239,97,109
DC.S1.10,81,93,163,163,255,257,117,117,196,196,240,242,94,98,162,172,239,239,97,109
DC.S1.11,93,96,163,163,255,257,111,113,196,196,242,246,94,98,164,172,239,239,109,109
DC.S1.12,93,96,163,163,255,257,111,117,196,204,242,246,98,98,162,172,239,239,97,97
DC.S1.13,93,96,163,163,255,257,113,117,196,196,242,242,96,98,162,172,239,239,97,109
DC.S1.14,93,96,163,163,255,257,113,117,196,196,242,242,96,98,162,172,239,239,97,109
DC.S1.15,81,93,163,163,255,257,117,117,196,196,240,242,94,98,162,172,239,239,97,109
DC.S2.1,93,93,163,163,257,257,113,117,196,196,240,242,100,100,166,172,239,239,106,109
DC.S2.2,93,93,163,163,257,257,113,117,196,196,240,242,100,100,166,172,239,239,106,109
DC.S2.3,96,96,163,163,255,257,107,113,196,196,242,242,96,96,162,162,239,239,106,109
DC.S2.4,93,93,163,165,257,257,111,117,196,200,242,246,98,98,172,172,239,239,106,106
DC.S2.5,93,93,163,163,257,257,111,113,196,196,240,242,96,98,162,166,233,239,94,109
DC.S2.6,93,93,163,163,257,257,111,113,196,196,240,242,96,98,162,166,233,239,94,109
DC.S2.7,93,93,163,163,257,257,111,113,196,196,240,242,96,98,162,166,233,239,94,109
DC.S2.8,93,93,163,163,257,257,111,113,196,196,240,242,96,98,162,166,233,239,94,109
DC.S2.9,93,93,163,163,257,257,111,113,196,196,240,242,96,98,162,166,233,239,94,109
DC.S2.10,93,93,163,163,257,257,111,113,196,196,240,240,96,98,162,166,233,239,94,109
DC.S2.11,96,96,163,163,255,257,111,115,192,200,242,246,96,98,162,172,239,239,94,109
DC.S2.12,81,93,163,163,257,257,113,113,196,196,240,242,96,98,162,162,239,239,94,109
DC.S2.13,93,93,163,163,257,257,113,117,196,196,240,242,100,100,166,172,239,239,106,109
DC.S2.14,81,93,163,163,257,257,113,113,196,196,240,242,96,98,162,162,239,239,94,109
DC.S2.15,93,93,163,163,257,257,111,113,196,196,240,242,96,98,162,166,233,239,94,109
DC.S3.1,81,93,163,163,257,257,113,131,192,196,246,246,96,100,162,162,233,239,94,109
DC.S3.2,93,93,163,171,257,257,117,117,196,196,242,246,96,98,162,172,239,239,109,109
DC.S3.3,93,93,163,163,257,257,113,113,196,196,242,246,94,98,162,164,239,239,106,109
DC.S3.4,93,93,163,163,257,257,113,113,196,196,242,246,94,98,162,164,239,239,106,109
DC.S3.5,93,93,163,163,257,257,107,113,196,196,240,242,96,96,162,172,239,239,109,109
DC.S3.6,81,93,163,163,257,257,113,113,196,196,242,248,96,98,164,172,239,239,109,109
DC.S3.7,81,93,163,163,257,257,113,113,196,196,242,248,96,98,164,172,239,239,109,109
DC.S3.8,81,93,163,163,257,257,113,113,196,196,242,248,96,98,164,172,239,239,109,109
DC.S3.9,81,93,163,163,257,257,113,115,196,196,242,246,96,98,162,164,239,239,109,109
DC.S3.10,81,93,163,163,257,257,113,131,192,196,246,246,96,100,162,162,233,239,94,109
DC.S3.11,81,93,163,163,257,257,113,131,192,196,246,246,96,100,162,162,233,239,94,109
DC.S3.12,81,96,163,163,,,113,131,192,196,246,246,96,100,162,162,239,239,94,109
DC.S3.13,81,81,163,163,257,257,107,113,196,196,246,248,96,100,162,164,233,239,106,109
DC.S3.14,81,96,163,163,255,255,113,117,196,196,240,242,98,98,162,164,239,239,94,109
DC.S3.15,81,96,163,163,255,257,113,117,196,196,238,242,98,98,162,164,239,239,94,109
DC.D1.1,81,81,165,165,257,257,107,113,196,196,244,244,96,98,162,166,237,239,97,109
DC.D1.2,81,81,165,165,257,257,107,109,196,196,244,244,96,98,162,166,237,239,97,109
DC.D1.3,81,93,163,171,255,257,107,113,196,196,242,246,94,98,162,166,239,239,109,115
DC.D1.4,81,93,163,163,255,257,107,109,196,196,244,248,96,96,162,172,237,239,97,109
DC.D1.5,81,93,163,163,257,257,107,117,196,196,244,246,94,96,162,164,233,239,97,97
DC.D1.6,81,93,163,163,257,257,107,111,196,196,240,246,98,98,164,164,239,239,109,109
DC.D1.7,81,93,163,163,255,257,111,111,196,196,240,242,98,98,162,162,239,239,97,97
DC.D1.8,81,93,163,163,257,257,107,111,196,196,242,242,94,98,172,172,233,233,97,97
DC.D1.9,81,81,161,163,257,257,107,109,196,200,242,246,94,100,166,166,239,239,106,106
DC.D1.10,81,81,163,163,255,257,113,117,196,196,244,248,96,98,164,166,237,237,97,109
DC.D1.11,81,81,163,163,257,257,107,117,196,196,244,246,94,98,162,162,237,239,97,109
DC.D1.12,81,81,161,163,257,257,107,109,196,200,242,246,94,100,166,166,239,239,106,106
DC.D1.13,81,81,163,163,257,257,107,117,196,196,244,246,94,98,162,162,237,239,97,109
DC.D1.14,81,93,163,163,257,257,111,117,192,196,242,242,98,98,162,172,233,239,97,97
DC.D1.15,81,96,163,163,255,257,107,117,196,196,242,248,98,98,164,172,237,239,106,109
DC.D2.1,81,81,163,163,257,257,113,113,196,196,242,246,98,98,164,164,239,239,97,97
DC.D2.2,81,93,163,163,257,257,107,107,196,200,242,244,96,98,166,170,239,239,97,106
DC.D2.3,81,93,163,171,257,257,111,113,196,196,246,248,94,96,162,164,239,239,97,109
DC.D2.4,81,93,163,163,257,257,107,113,196,200,242,248,98,100,170,172,239,239,106,109
DC.D2.5,93,93,163,163,257,257,117,117,196,196,242,244,98,98,162,164,239,239,109,109
DC.D2.6,81,93,163,163,257,257,117,117,196,196,244,246,96,98,158,162,239,239,109,109
DC.D2.7,81,81,163,171,257,257,113,117,196,196,240,246,90,98,170,172,233,239,97,97
DC.D2.8,81,81,163,163,257,257,107,113,196,196,242,242,96,98,162,162,239,239,109,109
DC.D2.10,81,81,163,163,257,257,107,111,196,196,240,242,98,100,164,164,239,239,97,97
DC.D2.11,81,93,163,171,257,257,111,113,192,196,242,246,94,98,162,166,239,239,106,106
DC.D2.12,81,93,163,163,257,257,107,117,192,200,242,246,98,98,162,164,239,239,109,109
DC.D2.13,81,96,163,163,257,257,113,113,196,196,240,246,98,98,162,172,233,239,97,109
DC.D2.14,81,93,163,163,257,257,107,113,192,196,242,248,98,98,164,166,239,239,109,109
DC.D2.15,81,81,163,163,257,257,107,113,196,196,244,244,96,98,162,172,239,239,97,109
DC.D3.1,81,93,163,163,257,257,107,113,192,196,242,246,98,98,162,172,239,239,109,109
DC.D3.2,81,93,163,163,257,257,115,117,196,200,242,248,94,98,172,172,239,239,97,109
DC.D3.3,93,96,163,163,255,257,109,113,196,196,240,242,98,98,162,164,239,239,97,97
DC.D3.4,93,93,163,163,257,257,107,113,196,196,244,246,94,98,162,172,233,237,97,97
DC.D3.5,81,81,163,163,257,257,113,117,196,196,242,244,96,98,162,162,239,239,97,109
DC.D3.6,93,93,163,163,257,257,111,117,196,196,246,248,98,98,164,172,239,239,97,97
DC.D3.7,81,93,163,163,257,257,107,115,196,200,244,248,96,98,172,174,233,239,97,109
DC.D3.8,81,81,163,163,255,257,113,113,196,200,242,242,94,98,164,166,239,239,109,109
DC.D3.9,81,93,163,163,255,257,113,113,200,204,242,242,94,98,164,166,239,239,109,109
DC.D3.10,93,93,163,163,257,257,107,111,184,196,242,244,96,98,172,172,239,239,97,109
DC.D3.11,81,93,163,163,257,257,113,117,196,196,246,246,96,96,162,162,239,239,109,109
DC.D3.12,81,93,163,163,257,257,107,107,196,196,240,242,94,94,162,166,233,239,97,100
DC.D3.13,81,93,163,165,257,257,107,117,196,200,242,244,94,96,164,174,233,239,97,109
DC.D3.14,81,81,163,163,257,257,113,117,196,200,246,246,98,100,164,164,239,239,109,109
DC.D3.15,81,81,163,163,255,257,113,113,196,200,242,242,94,98,164,166,239,239,109,109
