cur_d_out.txt:34214:Mean distance		2.2596	3.9476	5.8759	12.2796	16.4762	18.7227	21.1433	26.4634	35.3113	40.3548
cur_s_out.txt:29428:Mean distance		2.2045	3.7925	5.6258	11.6636	16.5367	19.1575	23.0516	31.6791	36.2249	40.4163
lyn_d_out.txt:33922:Mean distance		2.2436	3.8486	5.8854	12.1641	16.2175	18.4529	20.8756	27.8258	34.5143	39.2041
lyn_s_out.txt:34486:Mean distance		2.2362	3.8977	5.9509	12.6370	16.2686	18.3710	20.6347	25.4682	34.6085	39.5373
nil_d_out.txt:30600:Mean distance		2.2665	3.8593	5.4875	8.5179	13.8661	18.4828	22.3091	26.4345	31.8830	37.4111
nil_s_out.txt:27572:Mean distance		2.2161	3.8585	5.8863	13.5529	19.3730	21.5338	23.0871	24.7296	26.8452	30.5151
wes_d_out.txt:27476:Mean distance		2.2184	4.0470	6.5080	11.9296	15.8713	18.6300	21.2283	26.8647	34.2665	39.4391
wes_s_out.txt:31332:Mean distance		2.2744	4.0022	6.1793	12.4678	15.7027	17.8654	20.1579	23.5229	32.6685	38.9930
Locus	intra-individual (inbreeding coef)	1	2	3	4	5	6	7	8	9	10	average	0-44.719	b-lin(slope linear dist)	b-log(slope log dist)
cur_d_out.txt:ALL LOCI		0.0099	0.0128	0.0042	-0.0008	-0.0030	-0.0028	-0.0067	-0.0004	-0.0051	-0.0084	-0.0000		-0.00045738	-0.00687865
cur_s_out.txt:ALL LOCI		0.0522	0.0099	0.0144	-0.0154	-0.0139	-0.0113	-0.0064	0.0233	0.0030	-0.0194	0.0035		-0.000765778	-0.0141729
lyn_d_out.txt:ALL LOCI		0.0526	0.0289	-0.0123	-0.0017	-0.0086	-0.0167	-0.0104	-0.0116	0.0050	-0.0072	0.0019		-0.000941937	-0.0184196
lyn_s_out.txt:ALL LOCI		0.0572	0.0015	0.0080	-0.0003	-0.0008	-0.0061	-0.0151	-0.0095	-0.0231	-0.0133	-0.0002		-0.0012448	-0.0194176
nil_d_out.txt:ALL LOCI		0.0265	0.0223	0.0088	0.0166	-0.0045	0.0092	0.0055	0.0010	-0.0141	0.0144	0.0086		-0.000563623	-0.00948752
nil_s_out.txt:ALL LOCI		0.0324	0.0286	0.0180	-0.0001	0.0079	0.0160	0.0049	0.0016	-0.0105	-0.0152	0.0083		-0.001278	-0.0141934
wes_d_out.txt:ALL LOCI		0.1170	0.0581	0.0166	0.0202	-0.0249	-0.0027	-0.0044	-0.0267	-0.0611	-0.0328	0.0059		-0.00340178	-0.0519207
wes_s_out.txt:ALL LOCI		0.0446	0.0093	0.0086	-0.0053	-0.0075	-0.0144	-0.0204	-0.0096	0.0106	-0.0116	0.0005		-0.000835986	-0.0154066
cur_d_out.txt-95%CI-inf		-0.00683134	-0.00693338	-0.00780956	-0.00685721	-0.0063323	-0.00823348	-0.00818768	-0.00721058	-0.006723	-0.00689089			-0.000223944	-0.00312274
cur_s_out.txt-95%CI-inf		-0.0246054	-0.0202637	-0.020835	-0.0220085	-0.0164133	-0.0239406	-0.0211396	-0.0182625	-0.0228645	-0.0301237			-0.0010043	-0.0139216
lyn_d_out.txt-95%CI-inf		-0.0144612	-0.0167832	-0.0156054	-0.0170898	-0.0139731	-0.0168291	-0.0143692	-0.0124716	-0.0142113	-0.0167328			-0.000636616	-0.0084546
lyn_s_out.txt-95%CI-inf		-0.0117709	-0.0092618	-0.0109374	-0.0116444	-0.0125407	-0.0113311	-0.0132153	-0.0113727	-0.0115793	-0.0114545			-0.000314231	-0.00486918
nil_d_out.txt-95%CI-inf		-0.0137733	-0.01474	-0.0142249	-0.0153957	-0.0148557	-0.0179191	-0.0139055	-0.0102194	-0.0242698	-0.0126181			-0.000984089	-0.0106571
nil_s_out.txt-95%CI-inf		-0.0077245	-0.0162799	-0.0101049	-0.0198842	-0.0153701	-0.0115847	-0.010356	-0.0108822	-0.0121698	-0.0151163			-0.00060524	-0.00731307
wes_d_out.txt-95%CI-inf		-0.0269037	-0.0290433	-0.0298558	-0.0312028	-0.0315149	-0.0324013	-0.0316495	-0.0237651	-0.0274634	-0.0310425			-0.00111508	-0.013333
wes_s_out.txt-95%CI-inf		-0.0147614	-0.018566	-0.0212198	-0.0191767	-0.0190751	-0.0162718	-0.0223145	-0.0236034	-0.0208011	-0.0201382			-0.000918394	-0.0120042
cur_d_out.txt-95%CI-sup		0.00976863	0.00979384	0.0120986	0.00675032	0.0107346	0.0109097	0.0102919	0.00891432	0.00934967	0.009648			0.000208979	0.00312362
cur_s_out.txt-95%CI-sup		0.0521823	0.0489058	0.0389644	0.0383352	0.0462819	0.0398608	0.0626577	0.0527566	0.0397788	0.0536588			0.000761982	0.0103551
lyn_d_out.txt-95%CI-sup		0.0222579	0.023607	0.020283	0.035065	0.030719	0.0274034	0.0245845	0.0294699	0.0297576	0.0259738			0.000539025	0.00625558
lyn_s_out.txt-95%CI-sup		0.0185405	0.0162193	0.0130094	0.0125823	0.0114822	0.0175437	0.0145859	0.0157541	0.0112478	0.0131278			0.000354078	0.00383825
nil_d_out.txt-95%CI-sup		0.0420207	0.033966	0.0383881	0.0343434	0.0368986	0.061827	0.0411788	0.0439773	0.0359974	0.0471885			0.000642124	0.00843532
nil_s_out.txt-95%CI-sup		0.0308151	0.0249348	0.0273923	0.033603	0.0310893	0.0373598	0.0299482	0.0315709	0.0238552	0.0362838			0.000558642	0.00711277
wes_d_out.txt-95%CI-sup		0.0425682	0.059713	0.0390311	0.0491129	0.0462195	0.0500018	0.0450155	0.0476269	0.0410991	0.0407298			0.00074515	0.0121874
wes_s_out.txt-95%CI-sup		0.028296	0.0299046	0.0231911	0.0250503	0.0267535	0.0305319	0.0286562	0.0239782	0.0225534	0.0212304			0.000594679	0.00790158
cur_d_out.txt-P(2-sided test, H1: obs<>exp)		0.0297	0.0297	0.2871	0.8812	0.5248	0.5050	0.0693	1.0000	0.1287	0.0000			0.0000	0.0000
cur_s_out.txt-P(2-sided test, H1: obs<>exp)		0.0495	0.6436	0.4851	0.1287	0.1287	0.3861	0.3069	0.2277	0.8020	0.1089			0.1485	0.0495
lyn_d_out.txt-P(2-sided test, H1: obs<>exp)		0.0000	0.0297	0.1089	0.7030	0.2079	0.0693	0.1881	0.0693	0.7426	0.3663			0.0000	0.0000
lyn_s_out.txt-P(2-sided test, H1: obs<>exp)		0.0000	0.7426	0.1485	0.9406	0.8614	0.2673	0.0000	0.1089	0.0000	0.0297			0.0000	0.0000
nil_d_out.txt-P(2-sided test, H1: obs<>exp)		0.1683	0.1881	0.9802	0.5842	0.3663	0.8218	0.9010	0.4257	0.0891	0.7228			0.1287	0.0693
nil_s_out.txt-P(2-sided test, H1: obs<>exp)		0.0297	0.0000	0.3267	0.5050	0.9604	0.7426	0.7228	0.5644	0.0693	0.0495			0.0000	0.0000
wes_d_out.txt-P(2-sided test, H1: obs<>exp)		0.0000	0.0693	0.5842	0.5050	0.0693	0.6040	0.5842	0.0297	0.0000	0.0495			0.0000	0.0000
wes_s_out.txt-P(2-sided test, H1: obs<>exp)		0.0000	0.5248	0.3663	0.7228	0.4455	0.1089	0.0693	0.4257	0.2871	0.2277			0.0693	0.0000
