month,site,depth,perm.quadrat,transect.meter.mark,cattle_tag,veg.density,f.density,total.density,biomass,perc.flowering
June,DC,SH,3,,5,18,1,19,20.115,0.052631579
June,DC,SH,3,,17,19,5,24,14.826,0.208333333
June,DC,SH,3,,31,30,0,30,8.722,0
June,DC,SH,3,,28,18,9,27,23.05,0.333333333
June,DC,SH,3,,18,18,3,21,15.084,0.142857143
June,DC,SH,3,,13,25,3,28,23.287,0.107142857
June,DC,SH,3,,34,33,0,33,19.824,0
June,DC,SH,1,,3,18,4,22,11.57,0.181818182
June,DC,SH,1,,14,30,2,32,18.232,0.0625
June,DC,SH,1,,73,29,0,29,10.098,0
June,DC,SH,1,,72,11,0,11,6.191,0
June,DC,SH,1,,8,15,0,15,8.034,0
June,DC,SH,1,,12,28,0,28,15.892,0
June,DC,SH,1,,47,26,2,28,12.482,0.071428571
June,DC,SH,2,,70,19,5,24,17.133,0.208333333
June,DC,SH,2,,66,18,3,21,14.251,0.142857143
June,DC,SH,2,,74,25,5,30,25.272,0.166666667
June,DC,SH,2,,59,33,9,42,26.673,0.214285714
June,DC,SH,2,,44,36,1,37,16.174,0.027027027
June,DC,SH,2,,67,29,8,37,19.317,0.216216216
June,DC,SH,2,,57,26,3,29,17.624,0.103448276
June,DC,DP,3,,10,4,0,4,0.99,0
June,DC,DP,3,,11,2,0,2,0.426,0
June,DC,DP,3,,7,5,0,5,2.266,0
June,DC,DP,3,,19,5,0,5,1.21,0
June,DC,DP,3,,16,7,0,7,2.794,0
June,DC,DP,3,,15,4,0,4,1.395,0
June,DC,DP,3,,20,7,1,8,2.771,0.125
June,DC,DP,2,,51,6,0,6,3.009,0
June,DC,DP,2,,43,3,3,6,2.571,0.5
June,DC,DP,2,,46,6,1,7,1.69,0.142857143
June,DC,DP,2,,48,3,1,4,2.766,0.25
June,DC,DP,2,,68,3,1,4,2.516,0.25
June,DC,DP,1,,64,5,0,5,1.569,0
June,DC,DP,1,,30,10,0,10,5.29,0
June,DC,DP,1,,41,6,0,6,1.836,0
June,DC,DP,1,,37,12,0,12,4.691,0
June,DC,DP,2,,52,5,0,5,2.058,0
June,DC,DP,2,,61,6,0,6,4.29,0
June,WB,SH,3,,31,35,5,40,22.888,0.125
June,WB,SH,1,,43,21,3,24,14.107,0.125
June,WB,SH,1,,52,30,8,38,24.981,0.210526316
June,WB,SH,1,,26,26,3,29,19.101,0.103448276
June,WB,SH,2,,41,54,4,58,23.239,0.068965517
June,WB,SH,2,,64,51,1,52,19.701,0.019230769
June,WB,SH,2,,30,49,1,50,20.212,0.02
June,WB,SH,2,,13,48,5,53,25.99,0.094339623
June,WB,SH,2,,38,44,1,45,21.231,0.022222222
June,WB,SH,2,,25,39,1,40,16.867,0.025
June,WB,SH,2,,17,42,5,47,17.775,0.106382979
June,WB,SH,3,,74,41,3,44,27.724,0.068181818
June,WB,SH,3,,72,30,3,33,18.871,0.090909091
June,WB,SH,3,,34,25,0,25,3.954,0
June,WB,SH,3,,20,39,6,45,26.437,0.133333333
June,WB,SH,1,,61,16,1,17,10.402,0.058823529
June,WB,SH,1,,46,42,3,45,21.132,0.066666667
June,WB,SH,1,,51,9,0,9,2.775,0
June,WB,SH,1,,68,35,4,39,21.156,0.102564103
June,WB,SH,3,,73,34,6,40,25.208,0.15
June,WB,SH,3,,66,24,3,27,23.191,0.111111111
June,WB,DP,1,,11,8,0,8,3.986,0
June,WB,DP,1,,16,5,0,5,1.22,0
June,WB,DP,1,,14,2,0,2,0.868,0
June,WB,DP,1,,28,0,0,0,0,
June,WB,DP,1,,5,5,0,5,2.977,0
June,WB,DP,1,,7,3,0,3,0.959,0
June,WB,DP,1,,15,2,0,2,0.297,0
June,WB,DP,2,,12,8,0,8,1.199,0
June,WB,DP,2,,59,7,0,7,1.041,0
June,WB,DP,2,,44,11,0,11,4.037,0
June,WB,DP,2,,47,12,2,14,3.345,0.142857143
June,WB,DP,2,,37,5,0,5,1.89,0
June,WB,DP,2,,8,7,0,7,2.697,0
June,WB,DP,2,,19,8,0,8,1.928,0
June,WB,DP,3,,67,11,0,11,1.831,0
June,WB,DP,3,,57,10,1,11,3.715,0.090909091
June,WB,DP,3,,3,8,2,10,4.228,0.2
June,WB,DP,3,,70,10,1,11,5.816,0.090909091
June,WB,DP,3,,18,12,0,12,3.751,0
June,WB,DP,3,,10,11,0,11,4.912,0
June,WB,DP,3,,35,6,0,6,1.464,0
June,NB,SH,1,,10,39,3,42,16.022,0.071428571
June,NB,SH,1,,35,29,8,37,13.281,0.216216216
June,NB,SH,1,,3,42,1,43,13.966,0.023255814
June,NB,SH,1,,70,60,4,64,14.933,0.0625
June,NB,SH,3,,61,19,0,19,11.646,0
June,NB,SH,3,,66,24,0,24,6.292,0
June,NB,SH,3,,73,21,0,21,5.297,0
June,NB,SH,3,,15,34,2,36,14.151,0.055555556
June,NB,SH,2,,30,60,7,67,30.709,0.104477612
June,NB,SH,2,,31,31,1,32,14.302,0.03125
June,NB,SH,2,,43,47,4,51,16.048,0.078431373
June,NB,SH,2,,26,49,1,50,17.755,0.02
June,NB,SH,1,,57,22,3,25,10.016,0.12
June,NB,SH,3,,47,34,1,35,10.727,0.028571429
June,NB,SH,2,,52,32,3,35,14.2,0.085714286
June,NB,DP,3,,38,2,0,2,1.304,0
June,NB,DP,3,,17,7,1,8,1.634,0.125
June,NB,DP,2,,8,10,2,12,3.704,0.166666667
June,NB,DP,2,,28,7,0,7,2.676,0
June,NB,DP,1,,20,2,0,2,0.833,0
June,NB,DP,1,,5,2,0,2,0.763,0
June,NB,DP,1,,7,4,2,6,2.918,0.333333333
June,NB,DP,1,,16,5,0,5,2.015,0
June,NB,DP,1,,14,1,0,1,0.163,0
June,NB,DP,3,,13,9,1,10,5.246,0.1
June,NB,DP,3,,25,4,0,4,1.253,0
June,NB,DP,3,,34,9,0,9,1.674,0
June,NB,DP,2,,44,8,0,8,2.439,0
June,NB,DP,2,,19,8,0,8,2.453,0
June,NB,DP,2,,12,4,0,4,1.595,0
June,LP,SH,1,,12,43,2,45,16.1,0.044444444
June,LP,SH,1,,8,48,1,49,16.93,0.020408163
June,LP,SH,1,,17,39,1,40,20.63,0.025
June,LP,SH,2,,13,26,2,28,16.13,0.071428571
June,LP,SH,2,,28,21,0,21,7.299,0
June,LP,SH,3,,35,40,2,42,13.897,0.047619048
June,LP,SH,3,,3,34,0,34,8.594,0
June,LP,SH,3,,66,30,0,30,10.518,0
June,LP,SH,1,,7,34,1,35,16.583,0.028571429
June,LP,SH,1,,38,33,1,34,11.173,0.029411765
June,LP,SH,2,,5,22,2,24,13.209,0.083333333
June,LP,SH,2,,16,29,2,31,10.556,0.064516129
June,LP,SH,2,,14,15,0,15,7.78,0
