Date,site,depth,perm.quadrat,cattletag,transect.meter.mark,unique.quad,height
June,DC,SH,3,5,,1,113.5
June,DC,SH,3,5,,1,131.5
June,DC,SH,3,5,,1,105
June,DC,SH,3,5,,1,117
June,DC,SH,3,5,,1,131.5
June,DC,SH,3,17,,2,112.5
June,DC,SH,3,17,,2,96
June,DC,SH,3,17,,2,71
June,DC,SH,3,17,,2,93.5
June,DC,SH,3,17,,2,78
June,DC,SH,3,31,,3,84.5
June,DC,SH,3,31,,3,74.5
June,DC,SH,3,31,,3,66.5
June,DC,SH,3,31,,3,40
June,DC,SH,3,31,,3,62.5
June,DC,SH,3,28,,4,84
June,DC,SH,3,28,,4,98
June,DC,SH,3,28,,4,71
June,DC,SH,3,28,,4,81.5
June,DC,SH,3,28,,4,71.5
June,DC,SH,3,18,,5,56
June,DC,SH,3,18,,5,102.5
June,DC,SH,3,18,,5,41
June,DC,SH,3,18,,5,92
June,DC,SH,3,18,,5,74.5
June,DC,SH,3,13,,6,105
June,DC,SH,3,13,,6,97
June,DC,SH,3,13,,6,101.5
June,DC,SH,3,13,,6,116.5
June,DC,SH,3,13,,6,57.5
June,DC,SH,3,34,,7,120
June,DC,SH,3,34,,7,96
June,DC,SH,3,34,,7,92.5
June,DC,SH,3,34,,7,129
June,DC,SH,3,34,,7,98
June,DC,SH,1,3,,8,65
June,DC,SH,1,3,,8,88.5
June,DC,SH,1,3,,8,60
June,DC,SH,1,3,,8,66.5
June,DC,SH,1,3,,8,49
June,DC,SH,1,14,,9,74.5
June,DC,SH,1,14,,9,63
June,DC,SH,1,14,,9,79
June,DC,SH,1,14,,9,101
June,DC,SH,1,14,,9,63
June,DC,SH,1,73,,10,67.5
June,DC,SH,1,73,,10,58
June,DC,SH,1,73,,10,56
June,DC,SH,1,73,,10,57.5
June,DC,SH,1,73,,10,47
June,DC,SH,1,72,,11,58
June,DC,SH,1,72,,11,72
June,DC,SH,1,72,,11,74
June,DC,SH,1,72,,11,30
