site,depth,quad,core,seed,mass,notes,RAD_name,seedTF
DC,SH,1,A,1,NA,rotten,,TRUE
DC,SH,1,B,1,NA,rotten,,TRUE
DC,SH,1,B,1,0.0068,tissue,DS1.01s,TRUE
DC,SH,1,C,1,0.0075,tissue,DS1.02s,TRUE
DC,SH,2,A,1,0.0082,tissue,DS2.01s,TRUE
DC,SH,2,B,1,0.0065,tissue,DS2.02s,TRUE
DC,SH,2,B,2,0.0096,tissue,DS2.03s,TRUE
DC,SH,2,B,3,0.0104,lost,,TRUE
DC,SH,2,C,1,0.0085,tissue,DS2.05s,TRUE
DC,SH,2,C,2,0.0088,tissue,DS2.06s,TRUE
DC,SH,2,C,3,0.0083,tissue,DS2.07s,TRUE
DC,SH,2,C,4,0.0111,tissue,DS2.08s,TRUE
DC,SH,2,C,5,0.0082,tissue,DS2.09s,TRUE
DC,SH,2,C,6,0.0094,plantSP,DS2.10s,TRUE
DC,SH,3,A,1,0.0073,lost,,TRUE
DC,SH,3,A,2,0.0081,lost,,TRUE
DC,SH,3,A,3,0.0089,plantSP,DS3.03s,TRUE
DC,SH,3,A,4,0.0058,plantSP,DS3.04s,TRUE
DC,SH,3,A,5,0.008,plantSP,DS3.05s,TRUE
DC,SH,3,A,6,0.0084,plantSP,DS3.06s,TRUE
DC,SH,3,A,7,0.0079,plantSP,DS3.07s,TRUE
DC,SH,3,A,8,0.0086,plantSP,DS3.08s,TRUE
DC,SH,3,A,9,0.0085,plantSP,DS3.09s,TRUE
DC,SH,3,A,10,0.0082,plantSP,DS3.10s,TRUE
DC,SH,3,A,11,0.008,plantSP,DS3.11s,TRUE
DC,SH,3,A,12,0.0076,plantSP,DS3.12s,TRUE
DC,SH,3,A,13,0.0082,plantSP,DS3.13s,TRUE
DC,SH,3,A,14,0.0075,plantSP,DS3.14s,TRUE
DC,SH,3,A,15,0.0072,plantSP,DS3.15s,TRUE
DC,SH,3,A,16,0.0086,plantSP,DS3.16s,TRUE
DC,SH,3,A,17,0.0091,plantSP,DS3.17s,TRUE
DC,SH,3,A,18,0.0086,plantSP,DS3.18s,TRUE
DC,SH,3,A,19,0.0091,plantSP,DS3.19s,TRUE
DC,SH,3,A,20,0.0097,plantSP,DS3.20s,TRUE
DC,SH,3,A,21,0.0078,plantSP,DS3.21s,TRUE
DC,SH,3,A,22,0.0097,plantSP,DS3.22s,TRUE
DC,SH,3,A,23,0.0086,plantSP,DS3.23s,TRUE
DC,SH,3,A,24,0.0057,plantSP,DS3.24s,TRUE
DC,SH,3,A,25,0.0096,plantSP,DS3.25s,TRUE
DC,SH,3,A,26,NA,lost,,TRUE
DC,SH,3,A,27,0.0091,tissue,DS3.27s,TRUE
DC,SH,3,A,28,0.0079,tissue,DS3.28s,TRUE
DC,SH,3,A,29,0.0069,tissue,DS3.29s,TRUE
DC,SH,3,A,30,0.0094,tissue,DS3.30s,TRUE
DC,SH,3,A,31,0.0072,tissue,DS3.31s,TRUE
DC,SH,3,A,32,0.0081,tissue,DS3.32s,TRUE
DC,SH,3,A,33,0.0071,tissue,DS3.33s,TRUE
DC,SH,3,A,34,0.0129,tissue,DS3.34s,TRUE
DC,SH,3,A,35,0.0085,tissue,DS3.35s,TRUE
DC,SH,3,A,36,0.0088,tissue,DS3.36s,TRUE
DC,SH,3,A,37,0.0083,tissue,DS3.37s,TRUE
DC,SH,3,A,38,0.0096,tissue,DS3.38s,TRUE
DC,SH,3,A,39,0.0111,tissue,DS3.39s,TRUE
