"","n","Ho","Hs","Fis","site","depth","adult.seed"
"Curlew_D_A",43,0.980938125868368,0.532721808264293,NA,"Curlew","D","A"
"Curlew_D_S",3,0.975060994185149,0.53240324705398,NA,"Curlew","D","S"
"Curlew_S_A",40,0.984482581176349,0.528502907425513,NA,"Curlew","S","A"
"Curlew_S_S",35,0.978026326352082,0.53140288684197,NA,"Curlew","S","S"
"Lynch_D_A",43,0.982190958678537,0.533038094993053,NA,"Lynch","D","A"
"Lynch_S_A",44,0.981755910049915,0.534572412905882,NA,"Lynch","S","A"
"Lynch_S_S",3,0.982316127206299,0.524378665157207,NA,"Lynch","S","S"
"Niles_D_A",34,0.983953563525961,0.527181304996655,NA,"Niles","D","A"
"Niles_D_S",1,0.961405856018114,NA,NA,"Niles","D","S"
"Niles_S_A",35,0.986390629341841,0.525303252199866,NA,"Niles","S","A"
"Niles_S_S",10,0.979642875521021,0.522895378994494,NA,"Niles","S","S"
"West_D_A",25,0.988032727834097,0.523652266762723,NA,"West","D","A"
"West_D_S",1,0.976431842741728,NA,NA,"West","D","S"
"West_S_A",30,0.985612061956466,0.531155709360366,NA,"West","S","A"
"West_S_S",46,0.981447882467967,0.532957525858077,NA,"West","S","S"
