"","n","Ho","Hs","Fis","site","depth","adult.seed"
"Curlew_D_A",39,0.294802117682649,0.198238572076842,-0.292768568281937,"Curlew","D","A"
"Curlew_D_S",3,0.287196324307972,0.195894781424899,-0.41386714077316,"Curlew","D","S"
"Curlew_S_A",27,0.301228210558159,0.204694130993797,-0.293035403171767,"Curlew","S","A"
"Curlew_S_S",35,0.29919726213886,0.20019192255332,-0.308361641961231,"Curlew","S","S"
"Lynch_D_A",27,0.30073999394948,0.203119921343216,-0.276176967688483,"Lynch","D","A"
"Lynch_S_A",35,0.298737029193767,0.201710285887157,-0.279132046734823,"Lynch","S","A"
"Lynch_S_S",3,0.295233540090772,0.196271924242425,-0.455672607742881,"Lynch","S","S"
"Niles_D_A",23,0.289727877779459,0.201010588413251,-0.276001537049784,"Niles","D","A"
"Niles_D_S",1,0.257142857142857,NA,NA,"Niles","D","S"
"Niles_S_A",25,0.291982075328996,0.204052170624717,-0.264031882456917,"Niles","S","A"
"Niles_S_S",10,0.291840992285584,0.195571692400847,-0.361584726551434,"Niles","S","S"
"West_D_A",18,0.280771668431404,0.195954908485858,-0.281924638042935,"West","D","A"
"West_D_S",1,0.305223315669947,NA,NA,"West","D","S"
"West_S_A",20,0.301301724398725,0.207193238541823,-0.263495854922283,"West","S","A"
"West_S_S",46,0.300590651943731,0.203206897594919,-0.267141726190478,"West","S","S"
