X,pop1,pop2,phiST,p,km,hab
1,Curlew_D,Curlew_S,0.0400576314567976,0,0.172476603224424,DS
2,Curlew_D,Lynch_D,0.0673651938085837,0,14.7038675614939,DD
3,Curlew_D,Lynch_S,0.0899299964353366,0,14.8030665173556,DS
4,Curlew_D,Niles_D,0.0887189970196615,0,29.0698477983028,DD
5,Curlew_D,Niles_S,0.0944836519232907,0,29.2022769592582,DS
6,Curlew_D,West_D,0.0822849973440666,0,17.996832141895,DD
7,Curlew_D,West_S,0.0533130090208958,0,18.059459291204,DS
8,Curlew_S,Lynch_D,0.0830900654288093,0,14.5535736494723,SD
9,Curlew_S,Lynch_S,0.100210755208352,0,14.6535015875313,SS
10,Curlew_S,Niles_D,0.0885943733620143,0,28.8974343884995,SD
11,Curlew_S,Niles_S,0.0889367867393167,0,29.0298610536183,SS
12,Curlew_S,West_D,0.081010326513189,0,17.8328173051223,SD
13,Curlew_S,West_S,0.0554601509683995,0,17.8959985149463,SS
14,Lynch_D,Lynch_S,0.0246522828594674,0,0.160199901504671,DS
15,Lynch_D,Niles_D,0.0625295771310942,0,17.4394390022115,DD
16,Lynch_D,Niles_S,0.0682034907700122,0,17.567484085006,DS
17,Lynch_D,West_D,0.0413531778512042,0,4.58947977761831,DD
18,Lynch_D,West_S,0.0209387363640196,0,4.52601068005233,DS
19,Lynch_S,Niles_D,0.0651249829424318,0,17.4753622677169,SD
20,Lynch_S,Niles_S,0.0740516483774967,0,17.6030702606272,SS
21,Lynch_S,West_D,0.0523187653041262,0,4.62560676545272,SD
22,Lynch_S,West_S,0.0317839324385576,0,4.55589503480522,SS
23,Niles_D,Niles_S,0.0191148529794442,0,0.133353757552415,DS
24,Niles_D,West_D,0.0593363445955834,0,12.8503493158198,DD
25,Niles_D,West_S,0.0422529149461122,0,12.9215000110294,DS
26,Niles_S,West_D,0.0615314415478077,0,12.978259483521,SD
27,Niles_S,West_S,0.0493254909321682,0,13.0488720171576,SS
28,West_D,West_S,0.0253338446201097,0,0.193945505888691,DS
