indA	indB	adult.seed	data/ngsRelateFiles/268adults99seeds50perc_newres.gz	data/ngsRelateFiles/268adults99seeds80perc_newres.gz	data/ngsRelateFiles/268adults99seeds90perc_newres.gz	data/ngsRelateFiles/268adults99seeds95perc_newres.gz
DD1_01A	DD1_02A	AA	0.819444	0.852712	0.869318	0.854934
DD1_11A	DD1_13A	AA	0.761717	0.808115	0.815	0.861289
DD3_08A	DD3_09A	AA	0.84749	0.892927	0.903192	0.90805
DD3_08A	DD3_15A	AA	0.817411	0.861086	0.883854	0.890318
DD3_09A	DD3_15A	AA	0.809269	0.853891	0.878391	0.893432
DS1_02A	DS1_04A	AA	0.864055	0.894857	0.901532	0.919501
DS1_02A	DS1_05A	AA	0.859757	0.892185	0.916712	0.927474
DS1_02A	DS1_07A	AA	0.849047	0.889235	0.903264	0.915732
DS1_03A	ND1_14A	AA	0.950817	0.950816	0.950817	0.949978
DS1_04A	DS1_05A	AA	0.88158	0.912794	0.929786	0.939535
DS1_04A	DS1_07A	AA	0.834366	0.879131	0.900395	0.909243
DS1_05A	DS1_07A	AA	0.846115	0.885191	0.913439	0.930199
DS1_09A	DS1_10A	AA	NA	NA	0.725929	NA
DS2_01A	DS2_05A	AA	NA	NA	NA	0.714844
DS2_01A	DS2_06A	AA	NA	NA	NA	0.723311
DS2_01A	DS2_07A	AA	NA	NA	NA	0.707042
DS2_01A	DS2_08A	AA	NA	NA	NA	0.713164
DS2_01A	DS2_09A	AA	NA	NA	NA	0.718226
DS2_02A	DS2_13A	AA	0.873485	0.904124	0.929887	0.941885
DS2_05A	DS2_06A	AA	0.843573	0.896305	0.921599	0.933477
DS2_05A	DS2_07A	AA	0.846437	0.86865	0.902836	0.914339
DS2_05A	DS2_08A	AA	0.849121	0.880328	0.901559	0.911208
DS2_05A	DS2_09A	AA	0.846947	0.877857	0.900871	0.89641
DS2_05A	DS2_10S	AS	NA	NA	0.718783	0.725766
DS2_05A	DS2_15A	AA	0.839671	0.879704	0.910719	0.879215
DS2_05S	DS2_12A	AS	0.700378	0.741062	0.773418	0.783758
DS2_05S	DS2_14A	AS	NA	0.733	0.770639	0.765012
DS2_06A	DS2_07A	AA	0.873196	0.896066	0.921527	0.924667
DS2_06A	DS2_08A	AA	0.848987	0.876754	0.899404	0.914183
DS2_06A	DS2_09A	AA	0.859396	0.897533	0.901061	0.905166
DS2_06A	DS2_10S	AS	NA	NA	0.719027	0.731212
DS2_06A	DS2_15A	AA	0.830574	0.875734	0.916158	0.870526
DS2_07A	DS2_08A	AA	0.886008	0.90043	0.928903	0.931947
DS2_07A	DS2_09A	AA	0.886917	0.913457	0.928358	0.924387
DS2_07A	DS2_10S	AS	NA	NA	0.707065	NA
DS2_07A	DS2_15A	AA	0.826777	0.861157	0.887764	0.872793
DS2_07S	DS2_12A	AS	NA	NA	NA	0.704076
DS2_07S	DS2_14A	AS	NA	NA	NA	0.731855
DS2_08A	DS2_09A	AA	0.876504	0.909609	0.92428	0.927182
DS2_08A	DS2_15A	AA	0.850658	0.89999	0.917235	0.920141
DS2_08S	DS2_12A	AS	NA	NA	0.72276	0.721754
DS2_08S	DS2_14A	AS	NA	0.723849	0.74491	0.756386
DS2_09A	DS2_10S	AS	NA	0.736383	0.737071	0.705126
DS2_09A	DS2_15A	AA	0.860894	0.904695	0.920267	0.889177
DS2_12A	DS2_14A	AA	0.835615	0.870398	0.898736	0.887865
DS3_01A	DS3_34S	AS	0.705134	0.754772	0.788238	0.820814
DS3_01A	DS3_37S	AS	NA	NA	0.701753	0.728436
DS3_01A	DS3_40S	AS	0.738008	0.764437	0.790627	0.797454
DS3_01A	DS3_54S	AS	NA	NA	0.727551	0.758279
DS3_01A	DS3_61S	AS	NA	NA	NA	0.706216
DS3_03A	DS3_04A	AA	0.901749	0.923633	0.934094	0.931484
DS3_27S	WS2_02A	AS	0.885116	0.921394	0.934121	0.94
DS3_28S	LD3_15A	AS	0.851692	0.901581	0.918662	0.924349
DS3_29S	WS2_04A	AS	0.861739	0.906166	0.916556	0.9169
DS3_30S	WS2_05A	AS	0.876158	0.903283	0.917327	0.930571
DS3_34S	DS3_37S	SS	NA	0.715281	0.725853	0.766818
DS3_34S	DS3_40S	SS	NA	0.7018	0.721457	0.757399
DS3_34S	DS3_54S	SS	NA	NA	NA	0.703837
LD1_01A	LD1_02A	AA	0.791407	0.823209	0.826397	0.832348
LD1_01A	LD1_12A	AA	0.764263	0.813787	0.812818	0.820001
LD1_02A	LD1_12A	AA	0.747631	0.834391	0.857294	0.853601
LD1_05A	LD1_13A	AA	0.756708	0.766995	0.75182	0.724574
LD1_05A	LD1_14A	AA	0.815129	0.874973	0.871217	0.893974
LD1_07A	LD1_08A	AA	0.866639	0.894237	0.905036	0.903964
LD1_10A	LD1_11A	AA	0.834585	0.880543	0.878071	0.87438
LD1_13A	LD1_14A	AA	0.805201	0.822601	0.826097	0.812439
LD2_04A	LD2_05A	AA	0.816716	0.85565	0.877615	0.89326
LD2_07A	LD2_08A	AA	0.911927	0.924402	0.933722	0.926124
LD2_09A	LD2_11A	AA	0.869005	0.910497	0.91827	0.929129
LD2_09A	LD2_13A	AA	0.870128	0.884932	0.898052	0.921486
LD2_09A	LD2_15A	AA	0.860796	0.90764	0.920314	0.938789
LD2_11A	LD2_13A	AA	0.829681	0.863566	0.882295	0.89006
LD2_11A	LD2_15A	AA	0.87667	0.91898	0.928521	0.949046
LD2_13A	LD2_15A	AA	0.83033	0.871391	0.89888	0.902323
LD3_01A	LD3_02A	AA	NA	0.724762	0.732811	0.770553
LD3_06A	LD3_07A	AA	0.824162	0.860687	0.882446	0.900429
LD3_08A	LD3_09A	AA	0.780278	0.819257	0.823953	0.83384
LS1_01A	LS1_02A	AA	0.893301	0.91441	0.915712	0.91664
LS1_01A	LS1_13A	AA	0.852259	0.887313	0.891615	0.888886
LS1_02A	LS1_13A	AA	0.844846	0.895793	0.908727	0.921108
LS1_07A	LS1_08A	AA	0.873811	0.895332	0.898878	0.883401
LS1_07A	LS1_09A	AA	0.793262	0.823299	0.834058	0.870594
LS1_08A	LS1_09A	AA	0.817677	0.835964	0.835898	0.854977
LS1_10A	LS1_11A	AA	0.703115	0.736755	0.721463	0.701111
LS2_06A	LS2_07A	AA	0.857162	0.909051	0.928422	0.94089
LS2_06A	LS2_08A	AA	0.871817	0.901373	0.919295	0.940294
LS2_07A	LS2_08A	AA	0.848892	0.896406	0.908328	0.917225
LS3_03A	LS3_13A	AA	0.850116	0.87526	0.892892	0.867503
LS3_09A	LS3_10A	AA	0.74054	0.773255	0.798813	0.808538
LS3_11A	LS3_14A	AA	0.865146	0.894018	0.909899	0.914009
ND1_01A	ND1_03A	AA	0.82946	0.866152	0.892709	0.918769
ND1_01A	ND3_01S	AS	0.77488	0.811506	0.829967	0.836881
ND1_03A	ND3_01S	AS	0.796265	0.825575	0.85312	0.85786
ND3_01A	ND3_03A	AA	0.803282	0.832053	0.851272	0.87511
ND3_01A	ND3_04A	AA	0.755082	0.768219	0.798513	0.830635
ND3_01A	ND3_13A	AA	NA	0.735358	0.782503	0.791354
ND3_03A	ND3_04A	AA	0.78569	0.821825	0.844727	0.849178
ND3_03A	ND3_13A	AA	0.738447	0.777994	0.807089	0.813916
ND3_04A	ND3_13A	AA	0.743672	0.770612	0.794177	0.769916
ND3_05A	ND3_14A	AA	0.806688	0.843984	0.861583	0.867512
NS2_04A	NS2_13A	AA	0.707493	0.724213	0.746618	0.732938
NS2_06A	NS2_07A	AA	0.874586	0.911974	0.921332	0.927789
NS3_01A	NS3_15A	AA	0.836365	0.873792	0.894003	0.901852
