"","n","Ho","Hs","Fis","site","depth","adult.seed"
"Curlew_D_A",40,0.242253120681714,0.170659995393828,-0.235897691481747,"Curlew","D","A"
"Curlew_D_S",3,0.235450253339475,0.167970469488984,-0.348502418574653,"Curlew","D","S"
"Curlew_S_A",29,0.245909811146937,0.175223272685398,-0.235743982414362,"Curlew","S","A"
"Curlew_S_S",35,0.244246349608475,0.171858705665592,-0.246696025377869,"Curlew","S","S"
"Lynch_D_A",31,0.243755838323353,0.173951462459696,-0.211547219463754,"Lynch","D","A"
"Lynch_S_A",35,0.245734120221096,0.174302671579917,-0.223250910623946,"Lynch","S","A"
"Lynch_S_S",3,0.240510020828512,0.168617785039094,-0.370276992578251,"Lynch","S","S"
"Niles_D_A",30,0.233965591893137,0.170136250575772,-0.217358965711074,"Niles","D","A"
"Niles_D_S",1,0.207067722491431,NA,NA,"Niles","D","S"
"Niles_S_A",33,0.232733555964993,0.169896441731921,-0.206313524221142,"Niles","S","A"
"Niles_S_S",10,0.234232795946568,0.165450150184843,-0.287910517489219,"Niles","S","S"
"West_D_A",25,0.22680203823123,0.162896821741133,-0.232892263255622,"West","D","A"
"West_D_S",1,0.250346740638003,NA,NA,"West","D","S"
"West_S_A",22,0.243556909258406,0.175736987563335,-0.203477639235245,"West","S","A"
"West_S_S",46,0.246432404421925,0.175827291570705,-0.20914870449849,"West","S","S"
