"","grid","pop","ind","lon","lat"
"1","cur.d3","cur",1,-70.9175886529218,42.4190579257906
"2","cur.d3","cur",2,-70.9175885997374,42.4190399999897
"3","cur.d3","cur",3,-70.9175886528941,42.4190220741887
"4","cur.d3","cur",4,-70.9175643739209,42.4190220502286
"5","cur.d3","cur",5,-70.91754,42.4190219951899
"6","cur.d3","cur",6,-70.9175156260791,42.4190220502286
"7","cur.d3","cur",7,-70.9174913471059,42.4190220741887
"8","cur.d3","cur",8,-70.9174914002626,42.4190399999897
"9","cur.d3","cur",9,-70.9174913470782,42.4190579257906
"10","cur.d3","cur",10,-70.9175156260652,42.4190579497662
"11","cur.d3","cur",11,-70.91754,42.4190580048101
"12","cur.d3","cur",12,-70.9175643739348,42.4190579497662
"13","cur.d3","cur",13,-70.9175642998687,42.4190399999974
"14","cur.d3","cur",14,-70.91754,42.41904
"15","cur.d3","cur",15,-70.9175157001313,42.4190399999974
"16","cur.d2","cur",1,-70.917374660508,42.4190913622049
"17","cur.d2","cur",2,-70.9173746073235,42.4190734364041
"18","cur.d2","cur",3,-70.9173746604802,42.4190555106032
"19","cur.d2","cur",4,-70.9173503814941,42.4190554866431
"20","cur.d2","cur",5,-70.9173260075603,42.4190554316043
"21","cur.d2","cur",6,-70.9173016336264,42.4190554866431
"22","cur.d2","cur",7,-70.9172773546403,42.4190555106032
"23","cur.d2","cur",8,-70.917277407797,42.4190734364041
"24","cur.d2","cur",9,-70.9172773546126,42.4190913622049
"25","cur.d2","cur",10,-70.9173016336125,42.4190913861804
"26","cur.d2","cur",11,-70.9173260075603,42.4190914412244
"27","cur.d2","cur",12,-70.917350381508,42.4190913861804
"28","cur.d2","cur",13,-70.9173503074419,42.4190734364118
"29","cur.d2","cur",14,-70.9173260075603,42.4190734364144
"30","cur.d2","cur",15,-70.9173017076787,42.4190734364118
"31","cur.d1","cur",1,-70.9171606679804,42.4191247986189
"32","cur.d1","cur",2,-70.9171606147959,42.4191068728183
"33","cur.d1","cur",3,-70.9171606679527,42.4190889470175
"34","cur.d1","cur",4,-70.9171363889536,42.4190889230574
"35","cur.d1","cur",5,-70.9171120150068,42.4190888680186
"36","cur.d1","cur",6,-70.91708764106,42.4190889230574
"37","cur.d1","cur",7,-70.917063362061,42.4190889470175
"38","cur.d1","cur",8,-70.9170634152178,42.4191068728183
"39","cur.d1","cur",9,-70.9170633620333,42.4191247986189
"40","cur.d1","cur",10,-70.9170876410461,42.4191248225945
"41","cur.d1","cur",11,-70.9171120150068,42.4191248776384
"42","cur.d1","cur",12,-70.9171363889675,42.4191248225945
"43","cur.d1","cur",13,-70.9171363149014,42.419106872826
"44","cur.d1","cur",14,-70.9171120150068,42.4191068728286
"45","cur.d1","cur",15,-70.9170877151123,42.419106872826
"46","cur.s1","cur",1,-70.9155786537336,42.4201079257873
"47","cur.s1","cur",2,-70.9155786005482,42.4200899999897
"48","cur.s1","cur",3,-70.9155786537059,42.420072074192
"49","cur.s1","cur",4,-70.9155543743276,42.4200720502319
"50","cur.s1","cur",5,-70.91553,42.4200719951932
"51","cur.s1","cur",6,-70.9155056256724,42.4200720502319
"52","cur.s1","cur",7,-70.9154813462941,42.420072074192
"53","cur.s1","cur",8,-70.9154813994518,42.4200899999897
"54","cur.s1","cur",9,-70.9154813462664,42.4201079257873
"55","cur.s1","cur",10,-70.9155056256585,42.4201079497628
"56","cur.s1","cur",11,-70.91553,42.4201080048068
"57","cur.s1","cur",12,-70.9155543743415,42.4201079497628
"58","cur.s1","cur",13,-70.9155543002741,42.4200899999974
"59","cur.s1","cur",14,-70.91553,42.42009
"60","cur.s1","cur",15,-70.9155056997259,42.4200899999974
"61","cur.s2","cur",1,-70.9157973562007,42.4201079255787
