"","lon","lat"
"cur.d3",-70.91754,42.41904
"cur.d2",-70.9173260075603,42.4190734364144
"cur.d1",-70.9171120150068,42.4191068728286
"cur.s1",-70.91553,42.42009
"cur.s2",-70.9157487024671,42.4200899997914
"cur.s3",-70.9159674049342,42.4200899995828
"nil.d3",-70.656908632725,42.5959499991604
"nil.d2",-70.6566162109083,42.5959499999067
"nil.d1",-70.65647,42.59595
"nil.s1",-70.65523,42.59654
"nil.s2",-70.65549,42.59668
"nil.s3",-70.65531,42.59674
"wes.d3",-70.8046875397923,42.5578998886145
"wes.d2",-70.8044687698788,42.5578899443072
"wes.d1",-70.80425,42.55788
"wes.s1",-70.80578,42.55921
"wes.s2",-70.8059987745248,42.5592199443049
"wes.s3",-70.8062175490843,42.5592298886098
"lyn.d3",-70.8567329644382,42.5437320497905
"lyn.d2",-70.8569264823365,42.5436560248958
"lyn.d1",-70.85712,42.54358
"lyn.s1",-70.85816,42.5448
"lyn.s2",-70.8579664785686,42.5448760248795
"lyn.s3",-70.8577729569023,42.544952049758
